album,album_artist,album_year,track_number,track_title,track_artist,sample_type,sample_title,sample_artist,sample_year,sample_element,sample_image_url
Like Water for Chocolate,Common,2000,1,The Light,Common,sampled,Open Your Eyes,Bobby Caldwell,1980,Multiple Elements,https://www.whosampled.com/static/images/media/track_images_100/mr2_20081114_112144509443.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,sampled,You're Getting a Little Too Smart,Detroit Emeralds,1973,Drums,https://www.whosampled.com/static/images/media/track_images_100/mr1544_2009820_115425225823.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,sampled,Track 3 (Another Batch),J Dilla,1998,Multiple Elements,https://www.whosampled.com/static/images/redesign/misc/no_artwork.png
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Good Flirts,Baby Keem feat. Kendrick Lamar and Momo Boyd,2026,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr417786_2026220_4547186084.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,I Love Her Again,J. Cole,2026,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr41548_202626_840637399.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,713,The Carters,2018,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr219512_2018617_164630206314.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Hip Hop,Royce Da 5'9'',2004,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr2763_2009125_1903568629.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Heaven on Earth,Wale feat. Chris Brown,2017,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr40825_2017511_32838268522.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Falsehood,Kendrick Lamar,2022,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr271616_202357_12842398232.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Love Like This,Natasha Bedingfield and Sean Kingston,2007,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr38121_2020423_19746743247.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,Dear Dilla,Phife Dawg,2014,Multiple Elements,https://www.whosampled.com/static/images/media/track_images_100/mr12352_2014121_224116830424.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,J'Aimerais (IJKL...NOP),Hocus Pocus,2005,Vocals / Lyrics,https://www.whosampled.com/static/images/media/track_images_100/mr17137_2012111_35659880643.jpg
Like Water for Chocolate,Common,2000,1,The Light,Common,was sampled in,The Light (Outro),Kooley High,2009,Multiple Elements,https://www.whosampled.com/static/images/media/track_images_100/mr39920_2012129_151417584777.jpg
