spotify_track_id,track_name,track_number,id,href,isrc,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2AaB2ZDeJXu6j4Csos4gZH,Time Travelin' (A Tribute To Fela),1,6382aa7b-2fdb-4251-8dc5-18903a522332,https://open.spotify.com/track/2AaB2ZDeJXu6j4Csos4gZH,USMC10000119,0.227,0.83,0.551,0.254,7,0.376,-14.559,1,0.283,104.179,0.434
1ZD3CMagZCxFyrc2zPyvBl,Heat,2,d3f7c3de-043e-4242-b630-7ec5af6083f0,https://open.spotify.com/track/1ZD3CMagZCxFyrc2zPyvBl,USMC10000120,0.0057,0.811,0.732,0.0312,11,0.0929,-7.814,0,0.262,102.587,0.627
6Is1oWZB3Ry1bbMx2MKeui,Cold Blooded,3,cbd193e9-63ec-4fca-b460-48bf0973e87f,https://open.spotify.com/track/6Is1oWZB3Ry1bbMx2MKeui,USMC10000121,0.34,0.717,0.903,0.00018,4,0.109,-6.395,0,0.351,98.829,0.456
7bEEzWWgJS4HhzYtNLCXfa,Dooinit,4,aac586dc-d7de-408d-8580-d00a5cc52af6,https://open.spotify.com/track/7bEEzWWgJS4HhzYtNLCXfa,USMC10000122,0.102,0.85,0.637,0.0,5,0.0995,-5.82,0,0.393,92.859,0.76
5NiUrZVKyLpsyj62Roq5FW,The Light,5,21901fdd-9963-4813-89d4-29238a40df59,https://open.spotify.com/track/5NiUrZVKyLpsyj62Roq5FW,USMC10000123,0.0343,0.939,0.727,0.0,4,0.0855,-4.349,0,0.235,96.968,0.66
3aoSjb0bYD2pR2h7R4UzAj,Funky For You,6,f6072dab-961b-468d-86ed-9b3b3bae6b31,https://open.spotify.com/track/3aoSjb0bYD2pR2h7R4UzAj,USMC10000124,0.138,0.542,0.706,1.99e-05,11,0.166,-6.678,1,0.542,98.674,0.689
12DQLP0EURlKcwguEJM5oY,The Questions,7,07a320f6-a73c-4ab6-97b7-095828d94163,https://open.spotify.com/track/12DQLP0EURlKcwguEJM5oY,USMC10000125,0.37,0.828,0.388,0.0,7,0.396,-12.355,1,0.333,90.742,0.82
3cwWEfm58FQbdJBM4BLI43,Time Travelin Reprise,8,87fd629f-4015-4c9d-ab2c-afd4554c2426,https://open.spotify.com/track/3cwWEfm58FQbdJBM4BLI43,USMC10000126,0.0168,0.904,0.332,0.819,7,0.32,-15.613,1,0.194,104.232,0.69
6OE9S6XF0U1lNfeaUNSjYl,The 6th Sense,9,421b4d21-7b24-4ca9-b695-13e8dca916af,https://open.spotify.com/track/6OE9S6XF0U1lNfeaUNSjYl,USMC10000134,0.0746,0.687,0.827,0.0,1,0.702,-6.301,1,0.377,94.441,0.882
71gd3cOuLvtmUb17OARvsJ,A Film Called (Pimp),10,f277a79e-6496-4433-9f02-2c74d11e68db,https://open.spotify.com/track/71gd3cOuLvtmUb17OARvsJ,USMC10000127,0.0915,0.788,0.664,4.56e-06,10,0.508,-5.047,0,0.372,78.294,0.763
1N3L38TqNXFhlK5noHC3R3,Nag Champa (Afrodisiac For The World),11,1216f87a-3ccd-45d0-b55f-9001ba536f41,https://open.spotify.com/track/1N3L38TqNXFhlK5noHC3R3,USMC10000128,0.251,0.827,0.514,1.23e-06,3,0.0612,-10.868,0,0.594,90.963,0.785
5eFXWt41pZquFAyD1bs9ln,Thelonius,12,3f192d70-6cd0-4505-9f7d-da2d6d28c999,https://open.spotify.com/track/5eFXWt41pZquFAyD1bs9ln,USMC10000129,0.102,0.845,0.544,1.21e-05,11,0.56,-10.357,1,0.5,95.175,0.858
71Mx2CX2AtIV5MiEZDTXMJ,Payback Is A Grandmother,13,d8cd68bd-098a-4ae9-b9a7-10f4435f6703,https://open.spotify.com/track/71Mx2CX2AtIV5MiEZDTXMJ,USMC10000130,0.0155,0.769,0.826,0.0,2,0.92,-9.038,1,0.463,90.714,0.38
5hNEhuOVHybsY92mye6z83,Geto Heaven (Remix T.S.O.I. - The Sound Of Illadelph),14,1ff14ef3-3493-4d7e-afeb-a731599d209f,https://open.spotify.com/track/5hNEhuOVHybsY92mye6z83,USMC10000131,0.032,0.789,0.543,0.0,10,0.107,-6.559,0,0.182,99.523,0.625
6dhfqStWHETvJWNhhLO1Qc,A Song For Assata,15,6772e045-f7a3-42a6-8631-ee2ab9132797,https://open.spotify.com/track/6dhfqStWHETvJWNhhLO1Qc,USMC10000132,0.399,0.529,0.562,0.0,5,0.381,-8.247,0,0.292,89.085,0.5
53fLqlcY0rOoWcDfFJvNhO,Pops Rap III....All My Children,16,2be647d6-dcf2-4963-9af2-bab4df7f91a1,https://open.spotify.com/track/53fLqlcY0rOoWcDfFJvNhO,USMC10000133,0.226,0.815,0.523,0.164,4,0.0944,-8.943,0,0.179,91.64,0.301
