track_name,role,role_detail,person,is_primary
The Questions,producer,producer,J Dilla,True
The Questions,producer,producer,James Poyser,False
The Questions,writer,writer,James Poyser,True
The Questions,writer,writer,Common,False
The Questions,writer,writer,Mos Def,False
The Questions,writer,writer,J Dilla,False
The Questions,instrumentalist,lead_vocals,Common,True
The Questions,instrumentalist,background_vocals,Monie Love,True
The Questions,recorder,recorder,Todd Fairall,True
The Questions,recorder,assistant_recorder,Dylan Koski-Budabin,True
The Questions,mixer,mixer,Bob Power,True
The Questions,mixer,assistant_mixer,Mike Tocci,True
The Light,producer,producer,J Dilla,True
The Light,writer,writer,J Dilla,True
The Light,writer,writer,Common,False
The Light,writer,writer,Bruce Malament,False
The Light,writer,writer,Norman Harris,False
The Light,writer,writer,Bobby Caldwell,False
The Light,instrumentalist,lead_vocals,Common,True
The Light,instrumentalist,other_instruments,James Poyser,True
The Light,recorder,recorder,Todd Fairall,True
The Light,recorder,assistant_recorders,Dylan Koski-Budabin,True
The Light,recorder,assistant_recorders,Nick Hura,False
The Light,mixer,mixer,Bob Power,True
Thelonius,producer,producer,J Dilla,True
Thelonius,writer,writer,Common,True
Thelonius,writer,writer,T3,False
Thelonius,writer,writer,Baatin,False
Thelonius,writer,writer,J Dilla,False
Thelonius,instrumentalist,lead_vocals,Common,True
Thelonius,instrumentalist,additional_vocals,T3,True
Thelonius,instrumentalist,additional_vocals,J Dilla,False
Thelonius,instrumentalist,additional_vocals,Baatin,False
Thelonius,recorder,recorders,Mike Tocci,True
Thelonius,recorder,recorders,Todd Fairall,False
Thelonius,recorder,assistant_recorder,Dylan Koski-Budabin,True
Thelonius,mixer,mixer,Bob Power,True
Thelonius,mixer,assistant_mixer,Mike Tocci,True
Payback Is a Grandmother,producer,producer,J Dilla,True
Payback Is a Grandmother,writer,writer,J Dilla,True
Payback Is a Grandmother,writer,writer,Common,False
Payback Is a Grandmother,writer,writer,John Starks,False
Payback Is a Grandmother,writer,writer,Fred Wesley,False
Payback Is a Grandmother,writer,writer,James Brown,False
Payback Is a Grandmother,instrumentalist,lead_vocals,Common,True
Payback Is a Grandmother,recorder,recorder,Todd Fairall,True
Payback Is a Grandmother,recorder,assistant_recorders,John Seymour,True
Payback Is a Grandmother,recorder,assistant_recorders,Mike Tocci,False
Payback Is a Grandmother,recorder,assistant_recorders,Dylan Koski-Budabin,False
Payback Is a Grandmother,mixer,mixer,Bob Power,True
Payback Is a Grandmother,mixer,assistant_mixer,Mike Tocci,True
Cold Blooded,producer,producer,?uestlove,True
Cold Blooded,producer,producer,D'Angelo,False
Cold Blooded,writer,writer,D'Angelo,True
Cold Blooded,writer,writer,Common,False
Cold Blooded,writer,writer,Garry Shider,False
Cold Blooded,writer,writer,Glen Goins,False
Cold Blooded,writer,writer,George Clinton,False
Cold Blooded,writer,writer,Kelo Saunders,False
Cold Blooded,writer,writer,Black Thought,False
Cold Blooded,writer,writer,Rahzel,False
Cold Blooded,writer,writer,?uestlove,False
Cold Blooded,instrumentalist,lead_vocals,Common,True
Cold Blooded,instrumentalist,background_vocals,Black Thought,True
Cold Blooded,instrumentalist,background_vocals,Rahzel,False
Cold Blooded,instrumentalist,drums,?uestlove,True
Cold Blooded,instrumentalist,trumpet,Roy Hargrove,True
