track_name,sample_title,sample_artist,sample_year,sample_type
The Questions,Got 'Til It's Gone,Janet Jackson feat. Q-Tip and Joni Mitchell,1997,Vocals / Lyrics
The Light,Open Your Eyes,Bobby Caldwell,1980,Multiple Elements
The Light,You're Getting a Little Too Smart,Detroit Emeralds,1973,Drums
The Light,Track 3 (Another Batch),J Dilla,1998,Multiple Elements
Thelonius,Vulcan Mind Probe,George Duke,1982,Multiple Elements
Thelonius,Space Intro,Steve Miller Band,1976,Multiple Elements
Thelonius,Michelle,The Singers Unlimited,1972,Vocals / Lyrics
Payback Is a Grandmother,S.U.S.,Placebo (Jazz Band),1974,Multiple Elements
Payback Is a Grandmother,The Payback,James Brown,1973,Vocals / Lyrics
Payback Is a Grandmother,Right on Time,Maze Featuring Frankie Beverly,1983,Hook / Riff
Cold Blooded,Funkin' for Fun,Parliament,1976,Hook / Riff
Cold Blooded,Doing It to Death,Fred Wesley and The J.B.'s,1973,Vocals / Lyrics
Cold Blooded,Space Intro,Steve Miller Band,1976,Sound FX / Other
Funky for You,Spirit of Summer,Deodato,1972,Sound FX / Other
Funky for You,Take Your Time (Do It Right),The S.O.S. Band,1980,Vocals / Lyrics
Funky for You,Krs-One Attacks,KRS-One,1993,Vocals / Lyrics
A Film Called (Pimp),Brazilian Skies,Bill Summers,1976,Multiple Elements
A Film Called (Pimp),I Try (Jay Dee Mix),Macy Gray,1999,Multiple Elements
Geto Heaven,Ghetto Heaven (Soul II Soul Remix),The Family Stand,1990,Vocals / Lyrics
Pops Rap III... All My Children,Water No Get Enemy,Fela Kuti,1975,Hook / Riff
Pops Rap III... All My Children,Next Lifetime,Erykah Badu,1997,Vocals / Lyrics
The 6th Sense,Memories Are Here to Stay,The Intruders,1973,Multiple Elements
The 6th Sense,The Revolution Will Not Be Televised,Gil Scott-Heron,1971,Vocals / Lyrics
The 6th Sense,Allustrious,Mobb Deep,1999,Vocals / Lyrics
Nag Champa (Afrodisiac for the World),Morning Order,Hugh Hopper and Alan Gowen,1980,Multiple Elements
Nag Champa (Afrodisiac for the World),Running Away,Roy Ayers Ubiquity,1977,Hook / Riff
Heat,Asiko (In a Silent Mix),Tony Allen,1999,Multiple Elements
Dooinit,Give It to Me Baby,Rick James,1981,Bass
Dooinit,Car Horn,Common and The 45 King,1999,Vocals / Lyrics
